年份,月份,排名,车型,销量,厂商,售价
2022,1,1,轩逸,61170,东风日产,14.17
2022,1,2,朗逸,45524,上汽大众,12.29
2022,1,3,宏光MINIEV,37048,上汽通用五菱,6.63
2022,1,4,凯美瑞,28023,广汽丰田,22.48
2022,1,5,Model 3,26548,特斯拉中国,27.79
2022,1,6,速腾,26341,一汽-大众,15.04
2022,1,7,秦PLUS,25535,比亚迪,13.98
2022,1,8,逸动,21883,长安汽车,8.84
2022,1,9,宝马5系,20579,华晨宝马,49.95
2022,1,10,雷凌,19485,广汽丰田,13.23
2022,1,11,宝马3系,18841,华晨宝马,34.99
2022,1,12,宝来,18521,一汽-大众,13.45
2022,1,13,奥迪A4L,18444,一汽-大众奥迪,36.13
2022,1,14,帝豪,18129,吉利汽车,9.98
2022,1,15,雅阁,17601,广汽本田,21.48
2022,1,16,天籁,17571,东风日产,22.48
2022,1,17,思域,16019,东风本田,15.89
2022,1,18,迈腾,15991,一汽-大众,24.84
2022,1,19,帕萨特,14668,上汽大众,21.74
2022,1,20,奔驰E级,13460,北京奔驰,50.48
2022,1,21,MG5,13416,上汽集团,8.39
2022,1,22,马自达3 昂克赛拉,13157,长安马自达,13.99
2022,1,23,红旗H5,13137,一汽红旗,19.28
2022,1,24,汉,12781,比亚迪,26.08
2022,1,25,卡罗拉,12564,一汽丰田,13.48
2022,1,26,亚洲龙,12322,一汽丰田,23.98
2022,1,27,星瑞,12109,吉利汽车,12.72
2022,1,28,奥迪A3,11664,一汽-大众奥迪,22.72
2022,1,29,荣威i5,10940,上汽集团,8.39
2022,1,30,海豚,10602,比亚迪,12.83
2022,1,31,科鲁泽,10591,上汽通用雪佛兰,10.19
2022,1,32,奥迪A6L,10450,一汽-大众奥迪,54.23
2022,1,33,奕炫,10434,东风乘用车,7.94
2022,1,34,QQ冰淇淋,9984,奇瑞新能源,4.37
2022,1,35,长安奔奔E-Star,9852,长安汽车,0.0
2022,1,36,小蚂蚁,9412,奇瑞新能源,7.7
2022,1,37,型格,9215,广汽本田,15.84
2022,1,38,欧拉好猫,9020,长城新能源,14.78
2022,1,39,飞度,8937,广汽本田,9.53
2022,1,40,英仕派,8863,东风本田,21.79
2022,1,41,君威,8718,上汽通用别克,20.48
2022,1,42,威朗,8286,上汽通用别克,14.44
2022,1,43,高尔夫,8170,一汽-大众,17.98
2022,1,44,YARiS L 致炫,7877,广汽丰田,9.48
2022,1,45,伊兰特,7211,北京现代,12.48
2022,1,46,凌渡,7067,上汽大众,16.74
2022,1,47,AION S,7049,广汽埃安,15.98
2022,1,48,领克03,6818,领克,27.91
2022,1,49,小鹏P7,6707,小鹏汽车,27.49
2022,1,50,缤瑞,6478,吉利汽车,9.98
2022,2,1,轩逸,34705,东风日产,14.17
2022,2,2,朗逸,32037,上汽大众,12.29
2022,2,3,Model 3,24112,特斯拉中国,27.79
2022,2,4,卡罗拉,22725,一汽丰田,13.48
2022,2,5,秦PLUS,22508,比亚迪,13.98
2022,2,6,宏光MINIEV,22110,上汽通用五菱,6.63
2022,2,7,MG5,17026,上汽集团,8.39
2022,2,8,雅阁,16588,广汽本田,21.48
2022,2,9,天籁,15332,东风日产,22.48
2022,2,10,宝来,15300,一汽-大众,13.45
2022,2,11,凯美瑞,13670,广汽丰田,22.48
2022,2,12,速腾,12610,一汽-大众,15.04
2022,2,13,宝马3系,12271,华晨宝马,34.99
2022,2,14,迈腾,11634,一汽-大众,24.84
2022,2,15,亚洲龙,11525,一汽丰田,23.98
2022,2,16,科鲁泽,11490,上汽通用雪佛兰,10.19
2022,2,17,宝马5系,10627,华晨宝马,49.95
2022,2,18,帕萨特,10447,上汽大众,21.74
2022,2,19,帝豪,10440,吉利汽车,9.98
2022,2,20,雷凌,10236,广汽丰田,13.23
2022,2,21,逸动,10186,长安汽车,8.84
2022,2,22,奥迪A6L,9779,一汽-大众奥迪,54.23
2022,2,23,思域,9776,东风本田,15.89
2022,2,24,奔驰E级,9346,北京奔驰,50.48
2022,2,25,汉,9290,比亚迪,26.08
2022,2,26,奥迪A4L,8641,一汽-大众奥迪,36.13
2022,2,27,英朗,8603,上汽通用别克,12.29
2022,2,28,海豚,8565,比亚迪,12.83
2022,2,29,奔驰C级,8058,北京奔驰,35.56
2022,2,30,桑塔纳,7535,上汽大众,10.04
2022,2,31,荣威i5,7499,上汽集团,8.39
2022,2,32,红旗H5,6663,一汽红旗,19.28
2022,2,33,QQ冰淇淋,6442,奇瑞新能源,4.37
2022,2,34,威朗,6318,上汽通用别克,14.44
2022,2,35,奕炫,6016,东风乘用车,7.94
2022,2,36,星瑞,6001,吉利汽车,12.72
2022,2,37,马自达3 昂克赛拉,5649,长安马自达,13.99
2022,2,38,长安奔奔E-Star,5613,长安汽车,0.0
2022,2,39,骐达TIIDA,5396,东风日产,11.29
2022,2,40,艾瑞泽5,5190,奇瑞汽车,7.29
2022,2,41,型格,5014,广汽本田,15.84
2022,2,42,奥迪A3,4440,一汽-大众奥迪,22.72
2022,2,43,凯迪拉克CT5,4329,上汽通用凯迪拉克,32.57
2022,2,44,威驰,4239,一汽丰田,8.43
2022,2,45,欧拉好猫,4066,长城新能源,14.78
2022,2,46,高尔夫,3994,一汽-大众,17.98
2022,2,47,捷达VA3,3946,一汽-大众捷达,8.03
2022,2,48,亚洲狮,3852,一汽丰田,16.08
2022,2,49,小蚂蚁,3735,奇瑞新能源,7.7
2022,2,50,英仕派,3697,东风本田,21.79
2022,3,1,宏光MINIEV,47563,上汽通用五菱,6.63
2022,3,2,轩逸,28557,东风日产,14.17
2022,3,3,凯美瑞,27211,广汽丰田,22.48
2022,3,4,朗逸,26040,上汽大众,12.29
2022,3,5,Model 3,26024,特斯拉中国,27.79
2022,3,6,卡罗拉,25173,一汽丰田,13.48
2022,3,7,秦PLUS,22942,比亚迪,13.98
2022,3,8,雅阁,20667,广汽本田,21.48
2022,3,9,雷凌,19977,广汽丰田,13.23
2022,3,10,逸动,18732,长安汽车,8.84
2022,3,11,思域,17456,东风本田,15.89
2022,3,12,速腾,17214,一汽-大众,15.04
2022,3,13,帕萨特,16386,上汽大众,21.74
2022,3,14,宝来,16235,一汽-大众,13.45
2022,3,15,奔驰C级,15586,北京奔驰,35.56
2022,3,16,天籁,15471,东风日产,22.48
2022,3,17,英朗,14159,上汽通用别克,12.29
2022,3,18,MG5,13856,上汽集团,8.39
2022,3,19,帝豪,13593,吉利汽车,9.98
2022,3,20,科鲁泽,13286,上汽通用雪佛兰,10.19
2022,3,21,汉,12359,比亚迪,26.08
2022,3,22,QQ冰淇淋,11687,奇瑞新能源,4.37
2022,3,23,奔驰E级,11363,北京奔驰,50.48
2022,3,24,宝马5系,11029,华晨宝马,49.95
2022,3,25,长安奔奔E-Star,10709,长安汽车,0.0
2022,3,26,桑塔纳,10580,上汽大众,10.04
2022,3,27,海豚,10501,比亚迪,12.83
2022,3,28,亚洲龙,9793,一汽丰田,23.98
2022,3,29,小鹏P7,9183,小鹏汽车,27.49
2022,3,30,威朗,8976,上汽通用别克,14.44
2022,3,31,星瑞,8576,吉利汽车,12.72
2022,3,32,迈腾,8261,一汽-大众,24.84
2022,3,33,小蚂蚁,8240,奇瑞新能源,7.7
2022,3,34,奕炫,7646,东风乘用车,7.94
2022,3,35,君威,7518,上汽通用别克,20.48
2022,3,36,高尔夫,7359,一汽-大众,17.98
2022,3,37,荣威i5,7327,上汽集团,8.39
2022,3,38,凌渡,7324,上汽大众,16.74
2022,3,39,型格,6868,广汽本田,15.84
2022,3,40,AION S,6798,广汽埃安,15.98
2022,3,41,欧拉好猫,6342,长城新能源,14.78
2022,3,42,英仕派,6208,东风本田,21.79
2022,3,43,零跑T03,5853,零跑汽车,7.97
2022,3,44,奥迪A4L,5667,一汽-大众奥迪,36.13
2022,3,45,奥迪A3,5632,一汽-大众奥迪,22.72
2022,3,46,YARiS L 致炫,5508,广汽丰田,9.48
2022,3,47,马自达3 昂克赛拉,5480,长安马自达,13.99
2022,3,48,奥迪A6L,5461,一汽-大众奥迪,54.23
2022,3,49,亚洲狮,5203,一汽丰田,16.08
2022,3,50,捷达VA3,5133,一汽-大众捷达,8.03
2022,4,1,宏光MINIEV,27181,上汽通用五菱,6.63
2022,4,2,轩逸,25493,东风日产,14.17
2022,4,3,秦PLUS,20292,比亚迪,13.98
2022,4,4,雷凌,16548,广汽丰田,13.23
2022,4,5,凯美瑞,16452,广汽丰田,22.48
2022,4,6,汉,13421,比亚迪,26.08
2022,4,7,速腾,13416,一汽-大众,15.04
2022,4,8,海豚,12040,比亚迪,12.83
2022,4,9,奔驰C级,11837,北京奔驰,35.56
2022,4,10,宝马3系,10009,华晨宝马,34.99
2022,4,11,亚洲龙,9875,一汽丰田,23.98
2022,4,12,卡罗拉,9397,一汽丰田,13.48
2022,4,13,宝马5系,9344,华晨宝马,49.95
2022,4,14,朗逸,8442,上汽大众,12.29
2022,4,15,桑塔纳,8212,上汽大众,10.04
2022,4,16,帝豪,7784,吉利汽车,9.98
2022,4,17,雅阁,7293,广汽本田,21.48
2022,4,18,零跑T03,7156,零跑汽车,7.97
2022,4,19,QQ冰淇淋,7078,奇瑞新能源,4.37
2022,4,20,长安奔奔E-Star,6692,长安汽车,0.0
2022,4,21,小蚂蚁,6086,奇瑞新能源,7.7
2022,4,22,高尔夫,6033,一汽-大众,17.98
2022,4,23,思域,5888,东风本田,15.89
2022,4,24,逸动,5448,长安汽车,8.84
2022,4,25,长安UNI-V,5426,长安汽车,12.44
2022,4,26,天籁,5086,东风日产,22.48
2022,4,27,科鲁泽,4890,上汽通用雪佛兰,10.19
2022,4,28,YARiS L 致炫,4505,广汽丰田,9.48
2022,4,29,星瑞,4309,吉利汽车,12.72
2022,4,30,东风风神E70,4306,东风乘用车,14.83
2022,4,31,艾瑞泽5,4152,奇瑞汽车,7.29
2022,4,32,奕炫,4110,东风乘用车,7.94
2022,4,33,宝来,4062,一汽-大众,13.45
2022,4,34,帕萨特,4061,上汽大众,21.74
2022,4,35,伊兰特,4014,北京现代,12.48
2022,4,36,型格,3860,广汽本田,15.84
2022,4,37,小鹏P7,3714,小鹏汽车,27.49
2022,4,38,小鹏P5,3564,小鹏汽车,17.29
2022,4,39,MG5,3563,上汽集团,8.39
2022,4,40,奔驰E级,3332,北京奔驰,50.48
2022,4,41,AION S,3291,广汽埃安,15.98
2022,4,42,蒙迪欧,3242,长安福特,18.48
2022,4,43,秦新能源,3228,比亚迪,16.28
2022,4,44,花仙子,3209,江汽集团,7.54
2022,4,45,英朗,3171,上汽通用别克,12.29
2022,4,46,领克03,3089,领克,27.91
2022,4,47,奥迪A6L,3022,一汽-大众奥迪,54.23
2022,4,48,飞度,2847,广汽本田,9.53
2022,4,49,影豹,2800,广汽乘用车,12.82
2022,4,50,缤瑞,2707,吉利汽车,9.98
2022,5,1,宏光MINIEV,34037,上汽通用五菱,6.63
2022,5,2,轩逸,33030,东风日产,14.17
2022,5,3,汉,23934,比亚迪,26.08
2022,5,4,凯美瑞,22426,广汽丰田,22.48
2022,5,5,宝来,22201,一汽-大众,13.45
2022,5,6,朗逸,18588,上汽大众,12.29
2022,5,7,速腾,18322,一汽-大众,15.04
2022,5,8,宝马5系,18027,华晨宝马,49.95
2022,5,9,秦PLUS,17943,比亚迪,13.98
2022,5,10,MG5,17711,上汽集团,8.39
2022,5,11,宝马3系,16523,华晨宝马,34.99
2022,5,12,桑塔纳,16220,上汽大众,10.04
2022,5,13,帕萨特,15134,上汽大众,21.74
2022,5,14,奥迪A4L,13484,一汽-大众奥迪,36.13
2022,5,15,奔驰C级,13191,北京奔驰,35.56
2022,5,16,奥迪A6L,13046,一汽-大众奥迪,54.23
2022,5,17,雷凌,12916,广汽丰田,13.23
2022,5,18,迈腾,12822,一汽-大众,24.84
2022,5,19,Model 3,12133,特斯拉中国,27.79
2022,5,20,威朗,12045,上汽通用别克,14.44
2022,5,21,帝豪,11753,吉利汽车,9.98
2022,5,22,雅阁,11707,广汽本田,21.48
2022,5,23,英朗,10969,上汽通用别克,12.29
2022,5,24,亚洲龙,10700,一汽丰田,23.98
2022,5,25,AION S,10503,广汽埃安,15.98
2022,5,26,逸动,10418,长安汽车,8.84
2022,5,27,卡罗拉,10187,一汽丰田,13.48
2022,5,28,高尔夫,9964,一汽-大众,17.98
2022,5,29,小蚂蚁,9754,奇瑞新能源,7.7
2022,5,30,QQ冰淇淋,9243,奇瑞新能源,4.37
2022,5,31,思域,8870,东风本田,15.89
2022,5,32,科鲁泽,8530,上汽通用雪佛兰,10.19
2022,5,33,长安奔奔E-Star,8485,长安汽车,0.0
2022,5,34,长安UNI-V,7818,长安汽车,12.44
2022,5,35,凌渡,7718,上汽大众,16.74
2022,5,36,红旗H5,7514,一汽红旗,19.28
2022,5,37,奔驰E级,7427,北京奔驰,50.48
2022,5,38,艾瑞泽5,6895,奇瑞汽车,7.29
2022,5,39,天籁,6761,东风日产,22.48
2022,5,40,型格,6603,广汽本田,15.84
2022,5,41,海豚,6430,比亚迪,12.83
2022,5,42,科莱威CLEVER,6263,上汽集团,6.0
2022,5,43,影豹,6079,广汽乘用车,12.82
2022,5,44,零跑T03,5724,零跑汽车,7.97
2022,5,45,YARiS L 致炫,5467,广汽丰田,9.48
2022,5,46,奕炫,5001,东风乘用车,7.94
2022,5,47,捷达VA3,4911,一汽-大众捷达,8.03
2022,5,48,花仙子,4871,江汽集团,7.54
2022,5,49,马自达3 昂克赛拉,4714,长安马自达,13.99
2022,5,50,东风风神E70,4666,东风乘用车,14.83
2022,6,1,宏光MINIEV,46249,上汽通用五菱,6.63
2022,6,2,宝来,45759,一汽-大众,13.45
2022,6,3,轩逸,45312,东风日产,14.17
2022,6,4,卡罗拉,38370,一汽丰田,13.48
2022,6,5,朗逸,32131,上汽大众,12.29
2022,6,6,Model 3,26349,特斯拉中国,27.79
2022,6,7,汉,25439,比亚迪,26.08
2022,6,8,凯美瑞,23714,广汽丰田,22.48
2022,6,9,秦PLUS,23380,比亚迪,13.98
2022,6,10,奥迪A4L,21768,一汽-大众奥迪,36.13
2022,6,11,雅阁,21650,广汽本田,21.48
2022,6,12,宝马3系,19956,华晨宝马,34.99
2022,6,13,雷凌,19481,广汽丰田,13.23
2022,6,14,宝马5系,18966,华晨宝马,49.95
2022,6,15,奥迪A6L,18664,一汽-大众奥迪,54.23
2022,6,16,MG5,18360,上汽集团,8.39
2022,6,17,英朗,18048,上汽通用别克,12.29
2022,6,18,帕萨特,16890,上汽大众,21.74
2022,6,19,迈腾,16793,一汽-大众,24.84
2022,6,20,思域,15473,东风本田,15.89
2022,6,21,威朗,14113,上汽通用别克,14.44
2022,6,22,天籁,13667,东风日产,22.48
2022,6,23,奔驰E级,13261,北京奔驰,50.48
2022,6,24,奔驰C级,13198,北京奔驰,35.56
2022,6,25,逸动,13121,长安汽车,8.84
2022,6,26,帝豪,12567,吉利汽车,9.98
2022,6,27,凌渡,11983,上汽大众,16.74
2022,6,28,长安UNI-V,11460,长安汽车,12.44
2022,6,29,海豚,10376,比亚迪,12.83
2022,6,30,亚洲龙,10046,一汽丰田,23.98
2022,6,31,高尔夫,10001,一汽-大众,17.98
2022,6,32,荣威i5,9984,上汽集团,8.39
2022,6,33,小蚂蚁,9692,奇瑞新能源,7.7
2022,6,34,QQ冰淇淋,9663,奇瑞新能源,4.37
2022,6,35,科鲁泽,9577,上汽通用雪佛兰,10.19
2022,6,36,YARiS L 致炫,8966,广汽丰田,9.48
2022,6,37,AION S,8903,广汽埃安,15.98
2022,6,38,飞度,8784,广汽本田,9.53
2022,6,39,伊兰特,8580,北京现代,12.48
2022,6,40,蒙迪欧,8457,长安福特,18.48
2022,6,41,艾瑞泽5,8394,奇瑞汽车,7.29
2022,6,42,星瑞,8319,吉利汽车,12.72
2022,6,43,欧拉好猫,8275,长城新能源,14.78
2022,6,44,东风风神E70,8193,东风乘用车,14.83
2022,6,45,小鹏P7,8045,小鹏汽车,27.49
2022,6,46,驱逐舰05,7464,比亚迪,12.98
2022,6,47,桑塔纳,7412,上汽大众,10.04
2022,6,48,奕炫,7276,东风乘用车,7.94
2022,6,49,君威,7216,上汽通用别克,20.48
2022,6,50,速腾,7144,一汽-大众,15.04
2022,7,1,宏光MINIEV,56605,上汽通用五菱,6.63
2022,7,2,轩逸,43392,东风日产,14.17
2022,7,3,朗逸,39054,上汽大众,12.29
2022,7,4,秦PLUS,30093,比亚迪,13.98
2022,7,5,宝来,29182,一汽-大众,13.45
2022,7,6,汉,25849,比亚迪,26.08
2022,7,7,卡罗拉,24167,一汽丰田,13.48
2022,7,8,雅阁,24097,广汽本田,21.48
2022,7,9,威朗,22100,上汽通用别克,14.44
2022,7,10,海豚,21005,比亚迪,12.83
2022,7,11,凯美瑞,20598,广汽丰田,22.48
2022,7,12,雷凌,16881,广汽丰田,13.23
2022,7,13,天籁,16827,东风日产,22.48
2022,7,14,思域,16800,东风本田,15.89
2022,7,15,迈腾,16256,一汽-大众,24.84
2022,7,16,长安UNI-V,15645,长安汽车,12.44
2022,7,17,帕萨特,15445,上汽大众,21.74
2022,7,18,逸动,14940,长安汽车,8.84
2022,7,19,速腾,14360,一汽-大众,15.04
2022,7,20,奥迪A6L,13172,一汽-大众奥迪,54.23
2022,7,21,奔驰C级,12806,北京奔驰,35.56
2022,7,22,Model 3,12472,特斯拉中国,27.79
2022,7,23,奔驰E级,11536,北京奔驰,50.48
2022,7,24,小蚂蚁,11489,奇瑞新能源,7.7
2022,7,25,伊兰特,11226,北京现代,12.48
2022,7,26,凌渡,10717,上汽大众,16.74
2022,7,27,星瑞,10629,吉利汽车,12.72
2022,7,28,君威,10153,上汽通用别克,20.48
2022,7,29,奥迪A4L,9398,一汽-大众奥迪,36.13
2022,7,30,QQ冰淇淋,9391,奇瑞新能源,4.37
2022,7,31,宝马5系,9318,华晨宝马,49.95
2022,7,32,宝马3系,9209,华晨宝马,34.99
2022,7,33,荣威i5,9152,上汽集团,8.39
2022,7,34,奥迪A3,8762,一汽-大众奥迪,22.72
2022,7,35,飞度,8742,广汽本田,9.53
2022,7,36,艾瑞泽5,8665,奇瑞汽车,7.29
2022,7,37,型格,8475,广汽本田,15.84
2022,7,38,高尔夫,8107,一汽-大众,17.98
2022,7,39,蒙迪欧,7764,长安福特,18.48
2022,7,40,YARiS L 致炫,7597,广汽丰田,9.48
2022,7,41,凯迪拉克CT5,7562,上汽通用凯迪拉克,32.57
2022,7,42,东风风神E70,7556,东风乘用车,14.83
2022,7,43,驱逐舰05,7548,比亚迪,12.98
2022,7,44,长安Lumin,7412,长安汽车,5.99
2022,7,45,欧拉好猫,7313,长城新能源,14.78
2022,7,46,桑塔纳,7299,上汽大众,10.04
2022,7,47,亚洲龙,7270,一汽丰田,23.98
2022,7,48,英仕派,7130,东风本田,21.79
2022,7,49,缤瑞,7091,吉利汽车,9.98
2022,7,50,AION S,6864,广汽埃安,15.98
2022,8,1,朗逸,55268,上汽大众,12.29
2022,8,2,宏光MINIEV,49119,上汽通用五菱,6.63
2022,8,3,凯美瑞,42330,广汽丰田,22.48
2022,8,4,轩逸,39773,东风日产,14.17
2022,8,5,雅阁,36762,广汽本田,21.48
2022,8,6,秦PLUS,35689,比亚迪,13.98
2022,8,7,奥迪A6L,29492,一汽-大众奥迪,54.23
2022,8,8,卡罗拉,27304,一汽丰田,13.48
2022,8,9,汉,26003,比亚迪,26.08
2022,8,10,帝豪,24954,吉利汽车,9.98
2022,8,11,奥迪A4L,24258,一汽-大众奥迪,36.13
2022,8,12,海豚,23469,比亚迪,12.83
2022,8,13,帕萨特,21122,上汽大众,21.74
2022,8,14,雷凌,20133,广汽丰田,13.23
2022,8,15,伊兰特,18238,北京现代,12.48
2022,8,16,科鲁泽,17418,上汽通用雪佛兰,10.19
2022,8,17,威朗,17251,上汽通用别克,14.44
2022,8,18,桑塔纳,15890,上汽大众,10.04
2022,8,19,英仕派,15126,东风本田,21.79
2022,8,20,Model 3,14796,特斯拉中国,27.79
2022,8,21,宝马5系,13998,华晨宝马,49.95
2022,8,22,天籁,13962,东风日产,22.48
2022,8,23,MG5,12840,上汽集团,8.39
2022,8,24,思域,12781,东风本田,15.89
2022,8,25,凌渡,12399,上汽大众,16.74
2022,8,26,AION S,11683,广汽埃安,15.98
2022,8,27,长安Lumin,10783,长安汽车,5.99
2022,8,28,小蚂蚁,10037,奇瑞新能源,7.7
2022,8,29,宝来,9890,一汽-大众,13.45
2022,8,30,奥迪A3,9442,一汽-大众奥迪,22.72
2022,8,31,星瑞,9101,吉利汽车,12.72
2022,8,32,驱逐舰05,8725,比亚迪,12.98
2022,8,33,QQ冰淇淋,8616,奇瑞新能源,4.37
2022,8,34,宝马3系,8613,华晨宝马,34.99
2022,8,35,欧拉好猫,8105,长城新能源,14.78
2022,8,36,型格,8075,广汽本田,15.84
2022,8,37,凯迪拉克CT5,7702,上汽通用凯迪拉克,32.57
2022,8,38,奔腾B70,7602,一汽奔腾,12.54
2022,8,39,东风风神E70,7410,东风乘用车,14.83
2022,8,40,一汽-大众CC,7354,一汽-大众,27.49
2022,8,41,YARiS L 致炫,7201,广汽丰田,9.48
2022,8,42,荣威i5,7171,上汽集团,8.39
2022,8,43,极氪001,7166,极氪,53.45
2022,8,44,亚洲龙,6714,一汽丰田,23.98
2022,8,45,宝骏KiWi EV,6330,上汽通用五菱,9.58
2022,8,46,帝豪L HiP,6300,吉利汽车,13.93
2022,8,47,零跑T03,6248,零跑汽车,7.97
2022,8,48,红旗H5,6154,一汽红旗,18.58
2022,8,49,科沃兹,6018,上汽通用雪佛兰,9.19
2022,8,50,艾瑞泽5,5982,奇瑞汽车,7.29
2022,9,1,宏光MINIEV,44711,上汽通用五菱,6.63
2022,9,2,朗逸,41415,上汽大众,12.29
