年份,月份,排名,车型,销量,厂商,售价
2023,5,2,轩逸,35396,东风日产,14.17
2023,5,3,海豚,29081,比亚迪,12.83
2023,5,4,朗逸,25326,上汽大众,12.29
2023,5,5,AION S,25233,广汽埃安,15.98
2023,5,6,速腾,21126,一汽-大众,15.04
2023,5,7,宏光MINIEV,20346,上汽通用五菱,6.63
2023,5,8,汉,20158,比亚迪,26.08
2023,5,9,凯美瑞,19762,广汽丰田,22.48
2023,5,10,卡罗拉,17080,一汽丰田,13.48
2023,5,11,帕萨特,16556,上汽大众,21.74
2023,5,12,奔驰E级,14600,北京奔驰,50.48
2023,5,13,逸动,14431,长安汽车,8.84
2023,5,14,五菱缤果,14164,上汽通用五菱,7.43
2023,5,15,迈腾,13980,一汽-大众,24.84
2023,5,16,奥迪A6L,13154,一汽-大众奥迪,54.23
2023,5,17,帝豪,12573,吉利汽车,9.98
2023,5,18,宝来,12277,一汽-大众,13.45
2023,5,19,奔驰C级,11929,北京奔驰,35.56
2023,5,20,威朗,11842,上汽通用别克,14.44
2023,5,21,雅阁,11783,广汽本田,21.48
2023,5,22,Model 3,11454,特斯拉中国,27.79
2023,5,23,伊兰特,11307,北京现代,12.48
2023,5,24,思域,11299,东风本田,15.89
2023,5,25,奥迪A4L,11246,一汽-大众奥迪,36.13
2023,5,26,科鲁泽,10978,上汽通用雪佛兰,10.19
2023,5,27,雷凌,10700,广汽丰田,13.23
2023,5,28,长安UNI-V,10619,长安汽车,12.44
2023,5,29,驱逐舰05,9840,比亚迪,12.98
2023,5,30,凌渡,9429,上汽大众,16.74
2023,5,31,凯迪拉克CT5,9112,上汽通用凯迪拉克,32.57
2023,5,32,型格,9017,广汽本田,15.84
2023,5,33,长安Lumin,8491,长安汽车,5.99
2023,5,34,海鸥,8427,比亚迪,8.18
2023,5,35,海豹,8062,比亚迪,22.33
2023,5,36,英仕派,7847,东风本田,21.79
2023,5,37,欧拉好猫,7519,长城新能源,14.78
2023,5,38,熊猫,7215,吉利汽车,4.34
2023,5,39,红旗H5,7117,一汽红旗,18.58
2023,5,40,亚洲龙,7066,一汽丰田,23.98
2023,5,41,深蓝SL03,7033,深蓝汽车,42.29
2023,5,42,星瑞,6591,吉利汽车,12.72
2023,5,43,极氪001,6223,极氪,53.45
2023,5,44,捷达VA3,5681,一汽-大众捷达,8.03
2023,5,45,天籁,5435,东风日产,22.48
2023,5,46,奔驰A级,5423,北京奔驰,24.39
2023,5,47,QQ冰淇淋,5358,奇瑞新能源,4.37
2023,5,48,奥迪A3,5301,一汽-大众奥迪,22.72
2023,5,49,艾瑞泽8,5133,奇瑞汽车,12.79
2023,5,50,领克03,4963,领克,27.91
2023,6,1,秦PLUS,38197,比亚迪,13.98
2023,6,2,轩逸,29638,东风日产,14.17
2023,6,3,朗逸,27287,上汽大众,12.29
2023,6,4,速腾,26618,一汽-大众,15.04
2023,6,5,海豚,26408,比亚迪,12.83
2023,6,6,汉,25010,比亚迪,26.08
2023,6,7,凯美瑞,24036,广汽丰田,22.48
2023,6,8,Model 3,22741,特斯拉中国,27.79
2023,6,9,AION S,22487,广汽埃安,15.98
2023,6,10,型格,19208,广汽本田,15.84
2023,6,11,卡罗拉,17833,一汽丰田,13.48
2023,6,12,海鸥,16560,比亚迪,8.18
2023,6,13,帕萨特,16481,上汽大众,21.74
2023,6,14,奔驰E级,16400,北京奔驰,50.48
2023,6,15,迈腾,16312,一汽-大众,24.84
2023,6,16,奥迪A6L,15847,一汽-大众奥迪,54.23
2023,6,17,逸动,15598,长安汽车,8.84
2023,6,18,奥迪A4L,15589,一汽-大众奥迪,36.13
2023,6,19,宝马3系,15506,华晨宝马,34.99
2023,6,20,宝来,14332,一汽-大众,13.45
2023,6,21,奔驰C级,14200,北京奔驰,35.56
2023,6,22,宏光MINIEV,13763,上汽通用五菱,6.63
2023,6,23,威朗,12576,上汽通用别克,14.44
2023,6,24,科鲁泽,12268,上汽通用雪佛兰,10.19
2023,6,25,思域,12190,东风本田,15.89
2023,6,26,五菱缤果,12176,上汽通用五菱,7.43
2023,6,27,雷凌,11566,广汽丰田,13.23
2023,6,28,天籁,11123,东风日产,22.48
2023,6,29,长安Lumin,10714,长安汽车,5.99
2023,6,30,长安UNI-V,10556,长安汽车,12.44
2023,6,31,帝豪,10428,吉利汽车,9.98
2023,6,32,伊兰特,10298,北京现代,12.48
2023,6,33,红旗H5,9873,一汽红旗,19.28
2023,6,34,宝马5系,9773,华晨宝马,49.95
2023,6,35,凌渡,9425,上汽大众,16.74
2023,6,36,北京EU5,9295,北京汽车,15.09
2023,6,37,雅阁,9008,广汽本田,21.48
2023,6,38,凯迪拉克CT5,8995,上汽通用凯迪拉克,32.57
2023,6,39,亚洲龙,8444,一汽丰田,23.98
2023,6,40,星瑞,8083,吉利汽车,12.72
2023,6,41,驱逐舰05,7943,比亚迪,12.98
2023,6,42,捷达VA3,7815,一汽-大众捷达,8.03
2023,6,43,欧拉好猫,7658,长城新能源,14.78
2023,6,44,熊猫,7238,吉利汽车,4.34
2023,6,45,海豹,6802,比亚迪,22.33
2023,6,46,奥迪A3,6534,一汽-大众奥迪,22.72
2023,6,47,极氪001,6147,极氪,53.45
2023,6,48,QQ冰淇淋,6041,奇瑞新能源,4.37
2023,6,49,深蓝SL03,6015,深蓝汽车,42.29
2023,6,50,艾瑞泽8,5552,奇瑞汽车,12.79
2023,7,1,秦PLUS,37129,比亚迪,13.98
2023,7,2,轩逸,29670,东风日产,14.17
2023,7,3,朗逸,28898,上汽大众,12.29
2023,7,4,汉,25179,比亚迪,26.08
2023,7,5,海鸥,24989,比亚迪,8.18
2023,7,6,速腾,23734,一汽-大众,15.04
2023,7,7,AION S,22437,广汽埃安,15.98
2023,7,8,海豚,21800,比亚迪,12.83
2023,7,9,思域,19051,东风本田,15.89
2023,7,10,凯美瑞,17613,广汽丰田,22.48
2023,7,11,帕萨特,17231,上汽大众,21.74
2023,7,12,卡罗拉,16844,一汽丰田,13.48
2023,7,13,迈腾,15860,一汽-大众,24.84
2023,7,14,宏光MINIEV,15499,上汽通用五菱,6.63
2023,7,15,宝马3系,15458,华晨宝马,34.99
2023,7,16,逸动,15230,长安汽车,8.84
2023,7,17,五菱缤果,14378,上汽通用五菱,7.43
2023,7,18,奔驰C级,14198,北京奔驰,35.56
2023,7,19,长安Lumin,14103,长安汽车,5.99
2023,7,20,奔驰E级,14000,北京奔驰,50.48
2023,7,21,奥迪A6L,13881,一汽-大众奥迪,54.23
2023,7,22,威朗,13549,上汽通用别克,14.44
2023,7,23,奥迪A4L,12578,一汽-大众奥迪,36.13
2023,7,24,科鲁泽,12502,上汽通用雪佛兰,10.19
2023,7,25,帝豪,11058,吉利汽车,9.98
2023,7,26,宝马5系,10871,华晨宝马,49.95
2023,7,27,宝来,10804,一汽-大众,13.45
2023,7,28,星瑞,10204,吉利汽车,12.72
2023,7,29,型格,9697,广汽本田,15.84
2023,7,30,长安UNI-V,9634,长安汽车,12.44
2023,7,31,红旗H5,9600,一汽红旗,19.28
2023,7,32,驱逐舰05,8996,比亚迪,12.98
2023,7,33,凌渡,8941,上汽大众,16.74
2023,7,34,雷凌,8353,广汽丰田,13.23
2023,7,35,捷达VA3,7815,一汽-大众捷达,8.03
2023,7,36,Model 3,7791,特斯拉中国,27.79
2023,7,37,欧拉好猫,7786,长城新能源,14.78
2023,7,38,熊猫,7507,吉利汽车,4.34
2023,7,39,大众ID.3,7378,上汽大众,17.79
2023,7,40,伊兰特,7209,北京现代,12.48
2023,7,41,雅阁,7110,广汽本田,21.48
2023,7,42,亚洲龙,7088,一汽丰田,23.98
2023,7,43,艾瑞泽8,6905,奇瑞汽车,12.79
2023,7,44,红旗E-QM5,6852,一汽红旗,18.13
2023,7,45,极氪001,6170,极氪,53.45
2023,7,46,领克03,6028,领克,27.91
2023,7,47,QQ冰淇淋,5716,奇瑞新能源,4.37
2023,7,48,天籁,5561,东风日产,22.48
2023,7,49,奥迪A3,5296,一汽-大众奥迪,22.72
2023,7,50,海豹,5100,比亚迪,22.33
2023,8,1,秦PLUS,39808,比亚迪,13.98
2023,8,2,海鸥,34841,比亚迪,8.18
2023,8,3,朗逸,33891,上汽大众,12.29
2023,8,4,轩逸,32894,东风日产,14.17
2023,8,5,思域,26294,东风本田,15.89
2023,8,6,速腾,25566,一汽-大众,15.04
2023,8,7,AION S,22648,广汽埃安,15.98
2023,8,8,海豚,22096,比亚迪,12.83
2023,8,9,汉,21760,比亚迪,26.08
2023,8,10,凯美瑞,19737,广汽丰田,22.48
2023,8,11,帕萨特,17077,上汽大众,21.74
2023,8,12,迈腾,16951,一汽-大众,24.84
2023,8,13,卡罗拉,16092,一汽丰田,13.48
2023,8,14,宏光MINIEV,15844,上汽通用五菱,6.63
2023,8,15,奥迪A6L,15126,一汽-大众奥迪,54.23
2023,8,16,五菱缤果,13892,上汽通用五菱,7.43
2023,8,17,奔驰E级,13866,北京奔驰,50.48
2023,8,18,逸动,13837,长安汽车,8.84
2023,8,19,奔驰C级,13791,北京奔驰,35.56
2023,8,20,Model 3,13577,特斯拉中国,27.79
2023,8,21,长安Lumin,13446,长安汽车,5.99
2023,8,22,宝马3系,13199,华晨宝马,34.99
2023,8,23,奥迪A4L,12309,一汽-大众奥迪,36.13
2023,8,24,宝来,11935,一汽-大众,13.45
2023,8,25,帝豪,11760,吉利汽车,9.98
2023,8,26,星瑞,10345,吉利汽车,12.72
2023,8,27,宝马5系,10291,华晨宝马,49.95
2023,8,28,长安UNI-V,9863,长安汽车,12.44
2023,8,29,型格,9851,广汽本田,15.84
2023,8,30,凌渡,9587,上汽大众,16.74
2023,8,31,科鲁泽,9511,上汽通用雪佛兰,10.19
2023,8,32,君威,9268,上汽通用别克,20.48
2023,8,33,驱逐舰05,9218,比亚迪,12.98
2023,8,34,天籁,9189,东风日产,22.48
2023,8,35,亚洲龙,9146,一汽丰田,23.98
2023,8,36,红旗H5,9085,一汽红旗,19.28
2023,8,37,熊猫,8855,吉利汽车,4.34
2023,8,38,雷凌,8259,广汽丰田,13.23
2023,8,39,大众ID.3,7985,上汽大众,17.79
2023,8,40,伊兰特,7895,北京现代,12.48
2023,8,41,威朗,7861,上汽通用别克,14.44
2023,8,42,艾瑞泽8,7538,奇瑞汽车,12.79
2023,8,43,雅阁,6915,广汽本田,21.48
2023,8,44,极氪001,6822,极氪,53.45
2023,8,45,凯迪拉克CT5,6764,上汽通用凯迪拉克,32.57
2023,8,46,欧拉好猫,6383,长城新能源,14.78
2023,8,47,领克03,6143,领克,27.91
2023,8,48,红旗E-QM5,6045,一汽红旗,18.13
2023,8,49,马自达3 昂克赛拉,6000,长安马自达,13.99
2023,8,50,北京EU5,5849,北京汽车,15.09
2023,9,1,秦PLUS,39904,比亚迪,13.98
2023,9,2,海鸥,35011,比亚迪,8.18
2023,9,3,朗逸,32105,上汽大众,12.29
2023,9,4,轩逸,30028,东风日产,14.17
2023,9,5,速腾,26350,一汽-大众,15.04
2023,9,6,海豚,24282,比亚迪,12.83
2023,9,7,思域,23003,东风本田,15.89
2023,9,8,汉,21798,比亚迪,26.08
2023,9,9,凯美瑞,21677,广汽丰田,22.48
2023,9,10,AION S,21546,广汽埃安,15.98
2023,9,11,五菱缤果,19606,上汽通用五菱,7.43
2023,9,12,奥迪A6L,18809,一汽-大众奥迪,54.23
2023,9,13,帕萨特,17695,上汽大众,21.74
2023,9,14,迈腾,17582,一汽-大众,24.84
2023,9,15,奔驰E级,17031,北京奔驰,50.48
2023,9,16,宏光MINIEV,16146,上汽通用五菱,6.63
2023,9,17,卡罗拉,15242,一汽丰田,13.48
2023,9,18,奔驰C级,14337,北京奔驰,35.56
2023,9,19,帝豪,14058,吉利汽车,9.98
2023,9,20,奥迪A4L,13760,一汽-大众奥迪,36.13
2023,9,21,科鲁泽,13665,上汽通用雪佛兰,10.19
2023,9,22,长安Lumin,13650,长安汽车,5.99
2023,9,23,宝马3系,12757,华晨宝马,34.99
2023,9,24,型格,11877,广汽本田,15.84
2023,9,25,宝来,11518,一汽-大众,13.45
2023,9,26,雅阁,11509,广汽本田,21.48
2023,9,27,宝马5系,11350,华晨宝马,49.95
2023,9,28,逸动,11229,长安汽车,8.84
2023,9,29,威朗,10664,上汽通用别克,14.44
2023,9,30,长安UNI-V,10621,长安汽车,12.44
2023,9,31,艾瑞泽8,10534,奇瑞汽车,12.79
2023,9,32,星瑞,10396,吉利汽车,12.72
2023,9,33,熊猫,10221,吉利汽车,4.34
2023,9,34,红旗H5,9842,一汽红旗,19.28
2023,9,35,亚洲龙,9719,一汽丰田,23.98
2023,9,36,大众ID.3,9650,上汽大众,17.79
2023,9,37,红旗E-QM5,9152,一汽红旗,18.13
2023,9,38,凌渡,8715,上汽大众,16.74
2023,9,39,极氪001,8701,极氪,53.45
2023,9,40,欧拉好猫,8392,长城新能源,14.78
2023,9,41,伊兰特,8124,北京现代,12.48
2023,9,42,驱逐舰05,7950,比亚迪,12.98
2023,9,43,马自达3 昂克赛拉,7707,长安马自达,13.99
2023,9,44,雷凌,7367,广汽丰田,13.23
2023,9,45,天籁,7311,东风日产,22.48
2023,9,46,海豹,7291,比亚迪,22.33
2023,9,47,QQ冰淇淋,7235,奇瑞新能源,4.37
2023,9,48,领克03,6977,领克,27.91
2023,9,49,奥迪A3,6974,一汽-大众奥迪,22.72
2023,9,50,凯迪拉克CT5,6767,上汽通用凯迪拉克,32.57
2023,10,1,秦PLUS,37902,比亚迪,13.98
2023,10,2,海鸥,37836,比亚迪,8.18
2023,10,3,朗逸,31454,上汽大众,12.29
2023,10,4,轩逸,31239,东风日产,14.17
2023,10,5,速腾,26043,一汽-大众,15.04
2023,10,6,海豚,24735,比亚迪,12.83
2023,10,7,五菱缤果,23744,上汽通用五菱,7.43
2023,10,8,凯美瑞,21514,广汽丰田,22.48
2023,10,9,汉,20663,比亚迪,26.08
2023,10,10,宏光MINIEV,20337,上汽通用五菱,6.63
2023,10,11,思域,19596,东风本田,15.89
2023,10,12,迈腾,18911,一汽-大众,24.84
2023,10,13,雅阁,17052,广汽本田,21.48
2023,10,14,帕萨特,17007,上汽大众,21.74
2023,10,15,长安Lumin,15533,长安汽车,5.99
2023,10,16,奥迪A6L,14213,一汽-大众奥迪,54.23
2023,10,17,型格,14213,广汽本田,15.84
2023,10,18,星瑞,13798,吉利汽车,12.72
2023,10,19,宝马5系,13770,华晨宝马,49.95
2023,10,20,逸动,13598,长安汽车,8.84
2023,10,21,卡罗拉,13276,一汽丰田,13.48
2023,10,22,熊猫,13052,吉利汽车,4.34
2023,10,23,奔驰C级,12600,北京奔驰,35.56
2023,10,24,奥迪A4L,12190,一汽-大众奥迪,36.13
2023,10,25,宝马3系,12137,华晨宝马,34.99
2023,10,26,大众ID.3,11812,上汽大众,17.79
2023,10,27,奔驰E级,11800,北京奔驰,50.48
2023,10,28,AION S,11730,广汽埃安,15.98
2023,10,29,帝豪,11432,吉利汽车,9.98
2023,10,30,宝来,11102,一汽-大众,13.45
2023,10,31,科鲁泽,11025,上汽通用雪佛兰,10.19
2023,10,32,长安UNI-V,10467,长安汽车,12.44
2023,10,33,红旗H5,10386,一汽红旗,19.28
2023,10,34,凯迪拉克CT5,10238,上汽通用凯迪拉克,32.57
2023,10,35,天籁,10180,东风日产,22.48
2023,10,36,红旗E-QM5,10021,一汽红旗,18.13
2023,10,37,海豹,9767,比亚迪,22.33
2023,10,38,伊兰特,9184,北京现代,12.48
2023,10,39,亚洲龙,8829,一汽丰田,23.98
2023,10,40,马自达3 昂克赛拉,8805,长安马自达,13.99
2023,10,41,极氪001,8517,极氪,53.45
2023,10,42,雷凌,8480,广汽丰田,13.23
2023,10,43,凌渡,8466,上汽大众,16.74
2023,10,44,艾瑞泽8,7970,奇瑞汽车,12.79
2023,10,45,驱逐舰05,7966,比亚迪,12.98
2023,10,46,欧拉好猫,7664,长城新能源,14.78
2023,10,47,威朗,7365,上汽通用别克,14.44
2023,10,48,领克03,7363,领克,27.91
2023,10,49,QQ冰淇淋,7111,奇瑞新能源,4.37
2023,10,50,蒙迪欧,6865,长安福特,18.48
2023,11,1,海鸥,40594,比亚迪,8.18
2023,11,2,轩逸,39105,东风日产,14.17
2023,11,3,秦PLUS,38054,比亚迪,13.98
2023,11,4,速腾,29680,一汽-大众,15.04
2023,11,5,朗逸,29009,上汽大众,12.29
2023,11,6,海豚,26580,比亚迪,12.83
2023,11,7,五菱缤果,24024,上汽通用五菱,7.43
2023,11,8,宏光MINIEV,22985,上汽通用五菱,6.63
2023,11,9,汉,20815,比亚迪,26.08
2023,11,10,凯美瑞,19783,广汽丰田,22.48
2023,11,11,帕萨特,18910,上汽大众,21.74
2023,11,12,迈腾,18390,一汽-大众,24.84
2023,11,13,奥迪A6L,18253,一汽-大众奥迪,54.23
2023,11,14,长安Lumin,16671,长安汽车,5.99
2023,11,15,星瑞,16630,吉利汽车,12.72
2023,11,16,奔驰C级,16000,北京奔驰,35.56
2023,11,17,宝马5系,15993,华晨宝马,49.95
2023,11,18,Model 3,15627,特斯拉中国,27.79
2023,11,19,思域,15411,东风本田,15.89
2023,11,20,熊猫,15188,吉利汽车,4.34
2023,11,21,帝豪,14937,吉利汽车,9.98
2023,11,22,雅阁,14849,广汽本田,21.48
2023,11,23,卡罗拉,13343,一汽丰田,13.48
2023,11,24,海豹,13060,比亚迪,22.33
2023,11,25,宝马3系,12858,华晨宝马,34.99
2023,11,26,奥迪A4L,12795,一汽-大众奥迪,36.13
2023,11,27,型格,12367,广汽本田,15.84
2023,11,28,大众ID.3,12040,上汽大众,17.79
2023,11,29,AION S,11728,广汽埃安,15.98
2023,11,30,红旗H5,11638,一汽红旗,19.28
2023,11,31,宝来,11342,一汽-大众,13.45
2023,11,32,科鲁泽,11186,上汽通用雪佛兰,10.19
2023,11,33,逸动,11003,长安汽车,8.84
2023,11,34,威朗,10498,上汽通用别克,14.44
2023,11,35,艾瑞泽8,10424,奇瑞汽车,12.79
2023,11,36,红旗E-QM5,10270,一汽红旗,18.13
2023,11,37,伊兰特,9804,北京现代,12.48
2023,11,38,长安UNI-V,9517,长安汽车,12.44
2023,11,39,QQ冰淇淋,9015,奇瑞新能源,4.37
2023,11,40,领克03,8509,领克,27.91
2023,11,41,君威,8484,上汽通用别克,20.48
2023,11,42,凯迪拉克CT5,8037,上汽通用凯迪拉克,32.57
2023,11,43,天籁,7877,东风日产,22.48
2023,11,44,凌渡,7775,上汽大众,16.74
2023,11,45,雷凌,7687,广汽丰田,13.23
2023,11,46,零跑T03,7452,零跑汽车,7.97
2023,11,47,蒙迪欧,7036,长安福特,18.48
2023,11,48,欧拉好猫,6903,长城新能源,14.78
2023,11,49,亚洲龙,6825,一汽丰田,23.98
2023,11,50,极氪001,6751,极氪,53.45
2023,12,1,轩逸,48385,东风日产,14.17
2023,12,2,秦PLUS,41142,比亚迪,13.98
2023,12,3,海鸥,41012,比亚迪,8.18
2023,12,4,朗逸,38760,上汽大众,12.29
2023,12,5,速腾,34920,一汽-大众,15.04
2023,12,6,迈腾,27826,一汽-大众,24.84
2023,12,7,五菱缤果,27458,上汽通用五菱,7.43
2023,12,8,海豚,26814,比亚迪,12.83
2023,12,9,宏光MINIEV,25015,上汽通用五菱,6.63
2023,12,10,帕萨特,24559,上汽大众,21.74
2023,12,11,凯美瑞,22688,广汽丰田,22.48
2023,12,12,雅阁,22661,广汽本田,21.48
2023,12,13,奥迪A6L,21411,一汽-大众奥迪,54.23
2023,12,14,汉,19832,比亚迪,26.08
2023,12,15,奔驰C级,19418,北京奔驰,35.56
2023,12,16,Model 3,15750,特斯拉中国,27.79
2023,12,17,型格,15361,广汽本田,15.84
2023,12,18,AION S,15216,广汽埃安,15.98
2023,12,19,红旗H5,14674,一汽红旗,19.28
2023,12,20,奥迪A4L,14432,一汽-大众奥迪,36.13
2023,12,21,海豹,14381,比亚迪,22.33
2023,12,22,星瑞,13796,吉利汽车,12.72
2023,12,23,卡罗拉,13779,一汽丰田,13.48
2023,12,24,天籁,13269,东风日产,22.48
2023,12,25,大众ID.3,13201,上汽大众,17.79
2023,12,26,艾瑞泽8,13121,奇瑞汽车,12.79
2023,12,27,宝马5系,13083,华晨宝马,49.95
2023,12,28,宝来,13010,一汽-大众,13.45
2023,12,29,北京EU5,12811,北京汽车,15.09
2023,12,30,伊兰特,12796,北京现代,12.48
2023,12,31,熊猫,12538,吉利汽车,4.34
2023,12,32,长安Lumin,12480,长安汽车,5.99
2023,12,33,思域,11659,东风本田,15.89
2023,12,34,亚洲龙,11478,一汽丰田,23.98
2023,12,35,宝马3系,11396,华晨宝马,34.99
2023,12,36,长安UNI-V,11252,长安汽车,12.44
2023,12,37,逸动,10806,长安汽车,8.84
2023,12,38,帝豪,10698,吉利汽车,9.98
2023,12,39,红旗E-QM5,10600,一汽红旗,18.13
2023,12,40,凯迪拉克CT5,9100,上汽通用凯迪拉克,32.57
2023,12,41,蒙迪欧,8726,长安福特,18.48
2023,12,42,凌渡,8653,上汽大众,16.74
2023,12,43,奔腾B70,8588,一汽奔腾,12.54
2023,12,44,五菱星光,8550,上汽通用五菱,9.73
2023,12,45,驱逐舰05,8302,比亚迪,12.98
2023,12,46,极氪001,7980,极氪,53.45
2023,12,47,英仕派,7979,东风本田,21.79
2023,12,48,微蓝6,7862,上汽通用别克,14.09
2023,12,49,QQ冰淇淋,7462,奇瑞新能源,4.37
2023,12,50,奔驰E级,7419,北京奔驰,50.48